g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,frequency_Hz,amplitude_mA,duration_min,pulse_width_us,session_idx
12.93099403548337,11.328018698250718,11.536461820646757,12.93020360808103,11.132354925579623,11.280430637031827,11.736795620629646,12.219916259213369,11.568240905287261,11.756475380302444,11.826671378890778,11.227120941129524,8.5,2.0,30,200,0
11.086233833650848,11.485507575853367,12.76589570948081,11.460958401428732,11.028551234058792,11.861204268274713,12.089329705268035,12.228089408467326,11.052340272803018,11.131514186104223,11.642524301736776,11.377093721615335,8.5,2.0,30,200,1
11.7246009210834,11.639282630905255,11.450200250664778,11.331228865858924,11.626321657961142,11.315705629841707,10.670777249634225,11.772629805666437,10.27209564973656,11.449433699408784,11.544921763713957,12.14760290248244,8.5,2.0,30,200,2
10.718649556198699,11.412941223061662,11.116356288874721,12.083810515282417,9.628810311885674,11.416561433193564,11.300373258085271,12.783562269982635,11.469949548391943,10.315471633241504,10.914258105917517,11.519615291057702,8.5,2.0,30,200,3
10.068813451861486,11.147976051221317,11.11440273134265,10.956894123694875,10.055081264936295,11.955386761480952,11.661565728126652,10.437377428151358,10.829808132405114,12.199738528335365,11.471420410738146,10.517453231094775,8.5,2.0,30,200,4
10.69981512745373,10.552934933865032,9.866105861260534,10.932798219949467,11.260522938462438,10.957925006806388,10.16134797757584,11.279447895181649,11.283824912297511,11.212455279668179,10.23881705888247,11.705481040201382,8.5,2.0,30,200,5
11.11079903562947,10.793326651416326,10.40795083696624,9.686311173867436,10.353234057693463,11.109213581138647,10.75746671833935,11.070260719376154,10.631886254887423,10.467512376572847,11.744386610750912,9.754686643182017,8.5,2.0,30,200,6
11.20063583622157,10.62330274891666,10.856520593148495,10.663078177334826,11.327486639385036,9.897987511582084,9.821530953545636,9.734433742277162,10.229248486610292,10.709861069018874,10.225787213926544,10.33272009606873,8.5,2.0,30,200,7
9.641779149661636,10.228796385066182,10.226483237588363,10.73939963954667,11.140421502508591,10.36362607085683,10.288764846484995,9.84988116130881,9.966034213284823,10.459428007446771,10.337554176193656,10.115983086304267,8.5,2.0,30,200,8
10.386660811570783,9.64203332956868,9.89357644191662,9.688954819788846,10.764230638978892,10.05722597084605,9.493327793192515,10.643291932077425,10.293391218690212,10.796975051927184,10.194021253132451,9.24002062277764,8.5,2.0,30,200,9
9.34700928183472,10.019658954560997,10.161063268881474,10.519134132092715,9.531080408510421,9.956004126629642,9.718424180209697,10.50421158265523,9.87797955635602,9.311053890474764,9.782655695542083,10.100993214935151,8.5,2.0,30,200,10
9.87332067842114,9.646218268097957,9.46609725870582,9.833611683158393,9.89447835392486,10.399438348192529,10.686202951243516,8.903346980007267,9.719431192185887,9.974478741727944,9.456392289886628,8.711809955346654,8.5,2.0,30,200,11
8.993066779144149,9.3864504275224,9.992952215819578,9.316628505046555,9.925875711186041,9.883197670691857,9.840672743224284,9.425225467469458,9.642681236736356,9.095210465511476,9.976235036294929,8.822188850467164,8.5,2.0,30,200,12
8.806558990937768,9.684376076909366,8.784609893372355,10.859520858917595,10.015625694675496,8.330937074014962,9.311304204798907,9.713130686929532,8.941452343459902,8.764123736648886,9.603088696357977,9.221215260307162,8.5,2.0,30,200,13
9.641094867928626,8.97091428319662,9.885555497875576,9.384064522003706,8.110430268723924,8.775819253039147,9.299438363996329,8.776318833417667,9.24740868751983,9.484459987044337,8.962623594029067,9.23337376677074,8.5,2.0,30,200,14
9.472716029188586,9.13390750650814,8.53797900848226,9.077047366368275,9.151141399764875,9.359433923660182,9.244723988924761,8.098220830677072,8.700530519771755,8.642811111615957,9.108084386647205,8.980464262152157,8.5,2.0,30,200,15
8.15158084268538,9.778405427187781,8.92121749620175,8.28934044601008,8.853186438319455,8.626626618671045,9.13336308453839,8.853788274123877,8.665023366537225,8.31329259406374,8.889794231118891,8.766999922519261,8.5,2.0,30,200,16
9.109968834402464,8.693558616284305,9.02049752588443,8.364813791699762,8.227733213360736,8.758257750782922,8.5453819321686,8.537680609478697,8.53232987975779,8.7538747622968,7.8103335446068325,8.623746689469206,8.5,2.0,30,200,17
8.331663202149052,8.110294522684223,9.05445535946614,8.345195361359417,8.566560574561478,8.710797500276787,8.12966680539571,8.388278049013058,8.508948365396558,7.310275233349728,8.529109860919933,8.728490723836126,8.5,2.0,30,200,18
8.400773250979922,8.087645080712724,8.265320786781402,8.315175457202821,7.383982385647459,8.030619237731164,8.631466423137093,8.34572503900538,8.157657317340533,7.47605900844299,8.774982142062164,8.579887837580213,8.5,2.0,30,200,19
7.728609461475144,8.449476086587826,7.825430954276931,7.830087357046498,8.367500268790051,7.384077917734693,8.305671129145331,7.575352329616497,7.693966382477362,8.781603312286835,8.468365279387397,7.774711896014961,8.5,2.0,30,200,20
6.849139373669869,7.586085260507292,7.582931780672918,7.377320577675766,8.592387524494036,8.23176291131458,7.962723013430464,8.226193574155547,7.634134761716361,7.852176282188366,7.9913037816038734,8.034251941626117,8.5,2.0,30,200,21
